OrderPriority,OrderPriorityPrice,OrderDate,OrderNumber,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,ProductDepartment,Container,ProductCategory,ProductName,CustomerSegment,CustomerID,CustomerName,Region,State,CountryRegion,City,PostalCode,ShipDate,ShipMode
Critical,15,05-01-10,57253,0.08,5,49,6,0.7,Furniture,Jumbo Box,Tables,Iceberg OfficeWorks 42inch Round Tables,Consumer,882,Rosemary Hedrick,Asia Pacific,Soul,Republic of Korea,Seoul,1020,06-01-10,Regular Air
Critical,15,05-01-10,57253,0.04,126,25,5,0.55,Technology,Small Box,Telephones and Communication,232,Consumer,882,Rosemary Hedrick,Asia Pacific,Soul,Republic of Korea,Seoul,1020,05-01-10,Regular Air
Not Specified,0,05-01-10,86122,0.05,8,6,6,0.36,Office Supplies,Wrap Bag,Paper,Rediform Wirebound inchPhone Memoinch Message Book; 11 x 5-3/4,Home Office,1085,Ted Dunlap,North America,New York,United States of America,Deer Park,11729,06-01-10,Regular Air
High,10,05-01-10,86258,0.03,28,2,2,0.4,Technology,Small Pack,Computer Peripherals,Memorex 4.7GB DVD+RW; 3/Pack,Consumer,2206,Bobby Powell,North America,Iowa,United States of America,Fort Dodge,50501,06-01-10,Regular Air
High,10,05-01-10,86258,0.01,206,3,6,0.59,Technology,Small Box,Telephones and Communication,3285,Consumer,2206,Bobby Powell,North America,Iowa,United States of America,Fort Dodge,50501,07-01-10,Regular Air
Medium,7,05-01-10,86283,0.09,6,11,5,0.68,Office Supplies,Small Box,Storage and Organization,Perma STOR-ALL  Hanging File Box; 13 1/8inchW x 12 1/4inchD x 10 1/2inchH,Corporate,3331,Elisabeth Shaw,North America,Florida,United States of America,Ormond Beach,32174,06-01-10,Regular Air
Critical,15,05-01-10,85914,0.01,194,5,12,0.59,Furniture,Large Box,Office Furnishings,Electrix Halogen Magnifier Lamp,Small Business,2630,Betsy Puckett,North America,Oklahoma,United States of America,Norman,73071,07-01-10,Regular Air
Critical,15,05-01-10,85914,0.02,210,10,21,0.59,Furniture,Large Box,Office Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Small Business,2630,Betsy Puckett,North America,Oklahoma,United States of America,Norman,73071,06-01-10,Regular Air
Critical,15,05-01-10,85914,0,145,8,18,0.56,Technology,Jumbo Drum,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Small Business,2630,Betsy Puckett,North America,Oklahoma,United States of America,Norman,73071,07-01-10,Delivery Truck
Not Specified,0,05-01-10,90404,0.08,244,1,43,0.55,Furniture,Jumbo Drum,Chairs and Chairmats,Hon Deluxe Fabric Upholstered Stacking Chairs; Rounded Back,Corporate,2151,Melinda Rogers,North America,Iowa,United States of America,Dubuque,52001,06-01-10,Delivery Truck
High,10,05-01-10,87285,0.08,121,2,26,0.38,Technology,Jumbo Drum,Office Machines,Canon S750 Color Inkjet Printer,Home Office,3125,Guy McDonald,North America,Illinois,United States of America,Mount Prospect,60056,07-01-10,Delivery Truck
Critical,15,05-01-10,89536,0.08,2,11,1,0.58,Furniture,Jumbo Drum,Chairs and Chairmats,Metal Folding Chairs; Beige; 4/Carton,Consumer,890,Billie Fowler,North America,Texas,United States of America,Bedford,76021,06-01-10,Regular Air
Critical,15,05-01-10,89536,0.04,126,6,5,0.55,Technology,Small Box,Telephones and Communication,232,Consumer,890,Billie Fowler,North America,Texas,United States of America,Bedford,76021,05-01-10,Regular Air
Medium,7,06-01-10,6854,0.05,7,19,5,0.37,Furniture,Small Pack,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Consumer,3346,Geraldine Case,Asia Pacific,Beijing,China,Beijing,65001,08-01-10,Express Air
Not Specified,0,06-01-10,16961,0.06,2,27,2,0.51,Technology,Small Pack,Computer Peripherals,BASF Silver 74 Minute CD-R,Consumer,3281,Carol Clayton,Asia Pacific,Tokyo,Japan,Tokyo,1000000,07-01-10,Regular Air
Not Specified,0,06-01-10,16961,0.01,31,34,5,0.4,Office Supplies,Small Box,Paper,Xerox 19,Consumer,3281,Carol Clayton,Asia Pacific,Tokyo,Japan,Tokyo,1000000,08-01-10,Regular Air
Medium,7,06-01-10,89355,0.07,8,1,6,0.35,Office Supplies,Small Box,Binders and Binder Accessories,GBC VeloBinder Strips,Consumer,3347,Carrie McIntosh,North America,Florida,United States of America,Royal Palm Beach,33411,08-01-10,Express Air
Medium,7,06-01-10,89355,0.05,7,5,5,0.37,Furniture,Small Pack,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Consumer,3347,Carrie McIntosh,North America,Florida,United States of America,Royal Palm Beach,33411,08-01-10,Express Air
Not Specified,0,06-01-10,89909,0.01,151,6,30,0.74,Furniture,Jumbo Drum,Chairs and Chairmats,Novimex Swivel Fabric Task Chair,Consumer,799,Lee McKenna Gregory,North America,South Carolina,United States of America,Hilton Head Island,29915,08-01-10,Delivery Truck
Not Specified,0,06-01-10,89909,0.01,28,12,14,0.58,Office Supplies,Medium Box,Storage and Organization,Eldon Portable Mobile Manager,Consumer,799,Lee McKenna Gregory,North America,South Carolina,United States of America,Hilton Head Island,29915,08-01-10,Express Air
Not Specified,0,06-01-10,89909,0.03,36,1,1,0.55,Technology,Small Box,Telephones and Communication,Accessory35,Consumer,799,Lee McKenna Gregory,North America,South Carolina,United States of America,Hilton Head Island,29915,07-01-10,Regular Air
Critical,15,06-01-10,86750,0.03,2,4,1,0.57,Office Supplies,Wrap Bag,Pens and Art Supplies,Sanford EarthWrite® Recycled Pencils; Medium Soft; #2,Consumer,2418,Kyle Fink,North America,Virginia,United States of America,Petersburg,23805,07-01-10,Regular Air
Not Specified,0,06-01-10,90750,0.06,2,7,2,0.51,Technology,Small Pack,Computer Peripherals,BASF Silver 74 Minute CD-R,Consumer,3285,Ricky Garner,North America,Virginia,United States of America,Herndon,20170,07-01-10,Regular Air
Not Specified,0,06-01-10,90750,0.01,31,9,5,0.4,Office Supplies,Small Box,Paper,Xerox 19,Consumer,3285,Ricky Garner,North America,Virginia,United States of America,Herndon,20170,08-01-10,Regular Air
High,10,06-01-10,89856,0.03,3,7,4,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 342,Home Office,1782,Lawrence Dennis,North America,California,United States of America,San Clemente,92672,08-01-10,Regular Air
Critical,15,06-01-10,87853,0.04,881,8,45,0.62,Furniture,Jumbo Box,Bookcases,Riverside Palais Royal Lawyers Bookcase; Royale Cherry Finish,Home Office,1793,Derek Jernigan,North America,Illinois,United States of America,Galesburg,61401,07-01-10,Delivery Truck
Low,5,06-01-10,87071,0.05,20,2,35,0.84,Office Supplies,Large Box,Storage and Organization,Tennsco Commercial Shelving,Corporate,2146,Courtney Boyd,North America,Virginia,United States of America,Fairfax,20151,10-01-10,Regular Air
Low,5,06-01-10,90961,0.02,101,6,36,0.62,Furniture,Jumbo Box,Bookcases,Bush Westfield Collection Bookcases; Fully Assembled,Small Business,783,Carlos Byrd,North America,Connecticut,United States of America,Bristol,6010,06-01-10,Delivery Truck
Medium,7,07-01-10,3073,0.05,2,3,5,0.4,Office Supplies,Small Box,Binders and Binder Accessories,Avery Reinforcements for Hole-Punch Pages,Home Office,1605,Bruce Kahn,Europe; the Middle East and Africa,Madrid,Spain,Madrid,28001,08-01-10,Regular Air
Medium,7,07-01-10,3073,0.07,700,3,24,0.41,Technology,Large Box,Copiers and Fax,Canon PC1060 Personal Laser Copier,Home Office,1605,Bruce Kahn,Europe; the Middle East and Africa,Madrid,Spain,Madrid,28001,08-01-10,Express Air
Medium,7,07-01-10,3073,0.07,6783,7,24,0.06,Technology,Large Box,Office Machines,Polycom ViewStation  ISDN Videoconferencing Unit,Home Office,1605,Bruce Kahn,Europe; the Middle East and Africa,Madrid,Spain,Madrid,28001,08-01-10,Regular Air
Medium,7,07-01-10,18405,0.09,21,30,9,0.37,Office Supplies,Small Box,Binders and Binder Accessories,Premium Transparent Presentation Covers by GBC,Consumer,1366,Jordan Hahn,Asia Pacific,Soul,Republic of Korea,Seoul,1020,09-01-10,Express Air
Medium,7,07-01-10,18405,0.03,74,2,15,0.65,Technology,Small Box,Computer Peripherals,Keytronic French Keyboard,Consumer,1366,Jordan Hahn,Asia Pacific,Soul,Republic of Korea,Seoul,1020,10-01-10,Regular Air
Low,5,07-01-10,40704,0.01,2,6,1,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 310,Corporate,1801,Heidi Fisher,Asia Pacific,Osaka,Japan,Osaka,5890013,12-01-10,Regular Air
High,10,07-01-10,43909,0.08,16,46,13,0.37,Office Supplies,Small Box,Binders and Binder Accessories,GBC Pre-Punched Binding Paper; Plastic; White; 8-1/2inch x 11inch,Consumer,650,Marcia Kemp Stein,Asia Pacific,Moskva (city),Russian Federation,Moscow,101000,08-01-10,Regular Air
Medium,7,07-01-10,87993,0.05,2,1,5,0.4,Office Supplies,Small Box,Binders and Binder Accessories,Avery Reinforcements for Hole-Punch Pages,Home Office,1606,Don Rogers,North America,New York,United States of America,Franklin Square,11010,08-01-10,Regular Air
Medium,7,07-01-10,87993,0.07,700,1,24,0.41,Technology,Large Box,Copiers and Fax,Canon PC1060 Personal Laser Copier,Home Office,1606,Don Rogers,North America,New York,United States of America,Franklin Square,11010,08-01-10,Express Air
Medium,7,07-01-10,87993,0.07,6783,2,24,0.06,Technology,Large Box,Office Machines,Polycom ViewStation  ISDN Videoconferencing Unit,Home Office,1606,Don Rogers,North America,New York,United States of America,Franklin Square,11010,08-01-10,Regular Air
Medium,7,07-01-10,90513,0.03,74,1,15,0.65,Technology,Small Box,Computer Peripherals,Keytronic French Keyboard,Consumer,1367,James Hunter,North America,Texas,United States of America,Lubbock,79424,10-01-10,Regular Air
High,10,07-01-10,85915,0.07,66,3,6,0.58,Technology,Small Box,Telephones and Communication,i1000,Small Business,2630,Betsy Puckett,North America,Oklahoma,United States of America,Norman,73071,08-01-10,Regular Air
High,10,07-01-10,91575,0.08,16,12,13,0.37,Office Supplies,Small Box,Binders and Binder Accessories,GBC Pre-Punched Binding Paper; Plastic; White; 8-1/2inch x 11inch,Consumer,651,Leah Clapp,North America,Nevada,United States of America,Las Vegas,89115,08-01-10,Regular Air
Not Specified,0,08-01-10,30083,0.07,15,23,4,0.08,Office Supplies,Small Box,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,Home Office,2096,Joel Erickson,Latin America,Distrito Federal,Mexico,Mexico City,1000,09-01-10,Regular Air
High,10,08-01-10,88156,0.07,4,4,1,0.39,Office Supplies,Small Box,Labels,Avery 491,Home Office,2908,Robyn Lyon,North America,Ohio,United States of America,Garfield Heights,44125,08-01-10,Regular Air
High,10,08-01-10,88156,0.03,23,1,9,0.44,Furniture,Small Pack,Office Furnishings,Executive Impressions 14inch Two-Color Numerals Wall Clock,Home Office,2908,Robyn Lyon,North America,Ohio,United States of America,Garfield Heights,44125,08-01-10,Regular Air
High,10,08-01-10,85826,0.03,897,6,20,0.38,Office Supplies,Small Box,Binders and Binder Accessories,GBC DocuBind TL300 Electric Binding System,Corporate,2868,Eugene Clayton,North America,Washington,United States of America,Edmonds,98026,10-01-10,Regular Air
Not Specified,0,08-01-10,87888,0.07,15,60,4,0.08,Office Supplies,Small Box,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,Home Office,2099,Nathan Fox,North America,South Carolina,United States of America,Myrtle Beach,29577,09-01-10,Regular Air
Not Specified,0,09-01-10,18561,0.02,4,9,7,0.39,Office Supplies,Small Box,Labels,Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters; on Rolls; White; 250/Roll,Home Office,1745,Herbert Holden,North America,Georgia,United States of America,Atlanta,30305,10-01-10,Regular Air
Low,5,09-01-10,40097,0.1,3,47,2,0.58,Office Supplies,Wrap Bag,Pens and Art Supplies,12 Colored Short Pencils,Home Office,2552,Catherine Powell,Asia Pacific,Moskva (city),Russian Federation,Moscow,101000,14-01-10,Regular Air
High,10,09-01-10,89770,0,12,11,9,0.59,Office Supplies,Small Pack,Pens and Art Supplies,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Corporate,833,Gerald Love,North America,California,United States of America,Gilroy,95020,11-01-10,Express Air
Not Specified,0,09-01-10,87243,0.02,4,2,7,0.39,Office Supplies,Small Box,Labels,Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters; on Rolls; White; 250/Roll,Home Office,1749,Sherri P Stephens,North America,Oklahoma,United States of America,Lawton,73505,10-01-10,Regular Air
Not Specified,0,09-01-10,88794,0.09,3,6,1,0.59,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 339,Small Business,2165,Melanie Knight,North America,Maine,United States of America,Augusta,4330,11-01-10,Regular Air
Not Specified,0,09-01-10,88794,0.01,5,6,8,0.08,Office Supplies,Small Box,Binders and Binder Accessories,Acco PRESSTEX® Data Binder with Storage Hooks; Dark Blue; 9 1/2inch X 11inch,Small Business,2164,Harry Sellers,North America,California,United States of America,Pasadena,91104,10-01-10,Regular Air
Not Specified,0,09-01-10,88794,0.05,3,11,4,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 337,Small Business,2164,Harry Sellers,North America,California,United States of America,Pasadena,91104,09-01-10,Regular Air
Low,5,09-01-10,86527,0.1,3,12,2,0.58,Office Supplies,Wrap Bag,Pens and Art Supplies,12 Colored Short Pencils,Home Office,2555,Karl Knowles,North America,Wisconsin,United States of America,Madison,53711,14-01-10,Regular Air
Low,5,09-01-10,91130,0.04,126,1,9,0.59,Technology,Small Box,Telephones and Communication,M70,Corporate,358,Chris F Brandt,North America,Pennsylvania,United States of America,King of Prussia,19406,16-01-10,Regular Air
Critical,15,10-01-10,14596,0.01,8,24,1,0.43,Furniture,Wrap Bag,Office Furnishings,Document Clip Frames,Corporate,894,Gail Rankin Cole,North America,District of Columbia,United States of America,Washington,20024,12-01-10,Regular Air
Critical,15,10-01-10,14596,0.06,3,19,4,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 337,Corporate,894,Gail Rankin Cole,North America,District of Columbia,United States of America,Washington,20024,11-01-10,Regular Air
Medium,7,10-01-10,33988,0,5,30,5,0.79,Technology,Small Pack,Computer Peripherals,Imation 3.5; DISKETTE 44766 HGHLD3.52HD/FM; 10/Pack,Consumer,2793,Terri Bond,Asia Pacific,Soul,Republic of Korea,Seoul,1020,11-01-10,Regular Air
Critical,15,10-01-10,90166,0.01,8,6,1,0.43,Furniture,Wrap Bag,Office Furnishings,Document Clip Frames,Corporate,896,Jennifer Siegel,North America,Texas,United States of America,Denton,76201,12-01-10,Regular Air
Critical,15,10-01-10,90166,0.06,3,5,4,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 337,Corporate,896,Jennifer Siegel,North America,Texas,United States of America,Denton,76201,11-01-10,Regular Air
Low,5,10-01-10,89503,0.03,298,12,15,0.57,Technology,Jumbo Drum,Office Machines,Panasonic KX-P3200 Dot Matrix Printer,Corporate,2346,Sylvia Kumar,North America,Kentucky,United States of America,Pleasure Ridge Park,40258,15-01-10,Delivery Truck
Low,5,10-01-10,90078,0.05,30,11,9,0.74,Technology,Small Box,Computer Peripherals,Fellowes Internet Keyboard; Platinum,Home Office,2132,Philip Hawkins,North America,Missouri,United States of America,Hazelwood,63042,14-01-10,Express Air
Medium,7,10-01-10,87552,0,5,8,5,0.79,Technology,Small Pack,Computer Peripherals,Imation 3.5; DISKETTE 44766 HGHLD3.52HD/FM; 10/Pack,Consumer,2797,Cameron Kendall,North America,Pennsylvania,United States of America,Pittsburgh,15122,11-01-10,Regular Air
Not Specified,0,10-01-10,90431,0.02,6,4,9,0.37,Office Supplies,Small Box,Paper,Xerox 1996,Corporate,194,Tammy Goldman,North America,Utah,United States of America,Lehi,84043,11-01-10,Regular Air
Critical,15,10-01-10,89039,0.05,71,8,47,0.56,Furniture,Jumbo Box,Bookcases,Hon Metal Bookcases; Putty,Consumer,1976,Sherri F Vogel,North America,Michigan,United States of America,East Lansing,48823,11-01-10,Delivery Truck
Critical,15,10-01-10,89039,0.05,12,12,2,0.55,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 309,Consumer,1976,Sherri F Vogel,North America,Michigan,United States of America,East Lansing,48823,12-01-10,Regular Air
Low,5,11-01-10,89426,0.08,400,5,12,0.56,Technology,Jumbo Box,Office Machines,Okidata ML320 Series Turbo Dot Matrix Printers,Consumer,166,Vicki Hauser,North America,Tennessee,United States of America,Lebanon,37087,18-01-10,Delivery Truck
Not Specified,0,11-01-10,88060,0.08,298,5,15,0.57,Technology,Jumbo Drum,Office Machines,Panasonic KX-P3200 Dot Matrix Printer,Small Business,466,Marc Nash,North America,Massachusetts,United States of America,Bellingham,2019,11-01-10,Delivery Truck
Not Specified,0,11-01-10,88060,0.02,13,11,14,0.73,Furniture,Large Box,Office Furnishings,Tensor inchHersey Kissinch Styled Floor Lamp,Small Business,467,Maria Thomas,North America,Massachusetts,United States of America,Beverly,1915,12-01-10,Regular Air
Not Specified,0,11-01-10,88060,0.06,14,5,7,0.52,Office Supplies,Medium Box,Appliances,Holmes Odor Grabber,Small Business,468,Craig Bennett,North America,Massachusetts,United States of America,Hanson,2341,12-01-10,Regular Air
Not Specified,0,11-01-10,88060,0.05,4,7,7,0.49,Furniture,Small Box,Office Furnishings,Eldon Image Series Black Desk Accessories,Small Business,469,Marion Bowling,North America,New Jersey,United States of America,Hawthorne,7506,13-01-10,Express Air
Not Specified,0,11-01-10,88060,0.03,11,5,5,0.36,Office Supplies,Small Box,Paper,Xerox 188,Small Business,470,Tony Doyle,North America,New Jersey,United States of America,Trenton,8601,11-01-10,Regular Air
Low,5,12-01-10,7461,0.05,351,12,39,0.55,Furniture,Jumbo Drum,Chairs and Chairmats,Global Leather Executive Chair,Home Office,1423,Tammy Meyers,Asia Pacific,Moskva (city),Russian Federation,Moscow,101000,14-01-10,Delivery Truck
Low,5,12-01-10,7461,0,9,28,1,0.38,Office Supplies,Small Box,Envelopes,#10- 4 1/8inch x 9 1/2inch Recycled Envelopes,Home Office,1423,Tammy Meyers,Asia Pacific,Moskva (city),Russian Federation,Moscow,101000,16-01-10,Regular Air
