Product_Name,Customer_Name,Region,OrderPriority,OrderPriorityPrice,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,Profit
"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Elisabeth Shaw,North America,2,7,0.09,6,11,5,0.68,33.94
Electrix Halogen Magnifier Lamp,Betsy Puckett,North America,4,15,0.01,194,5,12,0.59,550.6
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Betsy Puckett,North America,4,15,0.02,210,10,21,0.59,1176
Panasonic KX-P1150 Dot Matrix Printer,Betsy Puckett,North America,4,15,0,145,8,18,0.56,631.6
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Melinda Rogers,North America,0,0,0.08,244,1,43,0.55,71.68
Canon S750 Color Inkjet Printer,Guy McDonald,North America,3,10,0.08,121,2,26,0.38,46.6
"Metal Folding Chairs, Beige, 4/Carton",Billie Fowler,North America,4,15,0.08,2,11,1,0.58,10
232,Billie Fowler,North America,4,15,0.04,126,6,5,0.55,380.56
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Geraldine Case,AsiaPac,2,7,0.05,7,19,5,0.37,37.56
BASF Silver 74 Minute CD-R,Carol Clayton,AsiaPac,0,0,0.06,2,27,2,0.51,22.3
Xerox 19,Carol Clayton,AsiaPac,0,0,0.01,31,34,5,0.4,406.06
GBC VeloBinder Strips,Carrie McIntosh,North America,2,7,0.07,8,1,6,0.35,-3.76
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carrie McIntosh,North America,2,7,0.05,7,5,5,0.37,6.2
Novimex Swivel Fabric Task Chair,Lee McKenna Gregory,North America,0,0,0.01,151,6,30,0.74,631.38
Eldon Portable Mobile Manager,Lee McKenna Gregory,North America,0,0,0.01,28,12,14,0.58,177.52
Accessory35,Lee McKenna Gregory,North America,0,0,0.03,36,1,1,0.55,17.72
"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Kyle Fink,North America,4,15,0.03,2,4,1,0.57,3.32
BASF Silver 74 Minute CD-R,Ricky Garner,North America,0,0,0.06,2,7,2,0.51,4.3
Xerox 19,Ricky Garner,North America,0,0,0.01,31,9,5,0.4,103.81
Newell 342,Lawrence Dennis,North America,3,10,0.03,3,7,4,0.56,7.13
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Derek Jernigan,North America,4,15,0.04,881,8,45,0.62,4042.84
Tennsco Commercial Shelving,Courtney Boyd,North America,1,5,0.05,20,2,35,0.84,-3.4
"Bush Westfield Collection Bookcases, Fully Assembled",Carlos Byrd,North America,1,5,0.02,101,6,36,0.62,327.6
Avery Reinforcements for Hole-Punch Pages,Bruce Kahn,EMEA,2,7,0.05,2,3,5,0.4,-2.9
Canon PC1060 Personal Laser Copier,Bruce Kahn,EMEA,2,7,0.07,700,3,24,0.41,690
Polycom ViewStation™ ISDN Videoconferencing Unit,Bruce Kahn,EMEA,2,7,0.07,6783,7,24,0.06,-736.22
Premium Transparent Presentation Covers by GBC,Jordan Hahn,AsiaPac,2,7,0.09,21,30,9,0.37,167.4
Keytronic French Keyboard,Jordan Hahn,AsiaPac,2,7,0.03,74,2,15,0.65,76.76
Newell 310,Heidi Fisher,AsiaPac,1,5,0.01,2,6,1,0.56,5.6
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Marcia Kemp Stein,AsiaPac,3,10,0.08,16,46,13,0.37,200.44
Avery Reinforcements for Hole-Punch Pages,Don Rogers,North America,2,7,0.05,2,1,5,0.4,-4.3
Canon PC1060 Personal Laser Copier,Don Rogers,North America,2,7,0.07,700,1,24,0.41,214
Polycom ViewStation™ ISDN Videoconferencing Unit,Don Rogers,North America,2,7,0.07,6783,2,24,0.06,-227.49
Keytronic French Keyboard,James Hunter,North America,2,7,0.03,74,1,15,0.65,30.88
i1000,Betsy Puckett,North America,3,10,0.07,66,3,6,0.58,94.98
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Leah Clapp,North America,3,10,0.08,16,12,13,0.37,42.68
Acco 6 Outlet Guardian Premium Surge Suppressor,Joel Erickson,Latam,0,0,0.07,15,23,4,0.08,-0.55
Avery 491,Robyn Lyon,North America,3,10,0.07,4,4,1,0.39,4.12
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Robyn Lyon,North America,3,10,0.03,23,1,9,0.44,0.43
GBC DocuBind TL300 Electric Binding System,Eugene Clayton,North America,3,10,0.03,897,6,20,0.38,1863.7
Acco 6 Outlet Guardian Premium Surge Suppressor,Nathan Fox,North America,0,0,0.07,15,60,4,0.08,5
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Herbert Holden,North America,0,0,0.02,4,9,7,0.39,6.32
12 Colored Short Pencils,Catherine Powell,AsiaPac,1,5,0.1,3,47,2,0.58,65.68
Boston 16765 Mini Stand Up Battery Pencil Sharpener,Gerald Love,North America,3,10,0,12,11,9,0.59,68.88
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Sherri P Stephens,North America,0,0,0.02,4,2,7,0.39,-4.04
Newell 339,Melanie Knight,North America,0,0,0.09,3,6,1,0.59,8
"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Harry Sellers,North America,0,0,0.01,5,6,8,0.08,-5.9
Newell 337,Harry Sellers,North America,0,0,0.05,3,11,4,0.56,12.83
12 Colored Short Pencils,Karl Knowles,North America,1,5,0.1,3,12,2,0.58,15.28
M70,Chris F Brandt,North America,1,5,0.04,126,1,9,0.59,60.3
Document Clip Frames,Gail Rankin Cole,North America,4,15,0.01,8,24,1,0.43,79.64
Newell 337,Gail Rankin Cole,North America,4,15,0.06,3,19,4,0.56,24.5
"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Terri Bond,AsiaPac,2,7,0,5,30,5,0.79,113.5
Document Clip Frames,Jennifer Siegel,North America,4,15,0.01,8,6,1,0.43,19.16
Newell 337,Jennifer Siegel,North America,4,15,0.06,3,5,4,0.56,3.5
Panasonic KX-P3200 Dot Matrix Printer,Sylvia Kumar,North America,1,5,0.03,298,12,15,0.57,1916.04
"Fellowes Internet Keyboard, Platinum",Philip Hawkins,North America,1,5,0.05,30,11,9,0.74,218.7
"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Cameron Kendall,North America,2,7,0,5,8,5,0.79,26.6
Xerox 1996,Tammy Goldman,North America,0,0,0.02,6,4,9,0.37,-0.6
"Hon Metal Bookcases, Putty",Sherri F Vogel,North America,4,15,0.05,71,8,47,0.56,242.68
Newell 309,Sherri F Vogel,North America,4,15,0.05,12,12,2,0.55,70
Okidata ML320 Series Turbo Dot Matrix Printers,Vicki Hauser,North America,1,5,0.08,400,5,12,0.56,948
Panasonic KX-P3200 Dot Matrix Printer,Marc Nash,North America,0,0,0.08,298,5,15,0.57,715.1
"Tensor ""Hersey Kiss"" Styled Floor Lamp",Maria Thomas,North America,0,0,0.02,13,11,14,0.73,87.53
Holmes Odor Grabber,Craig Bennett,North America,0,0,0.06,14,5,7,0.52,25.2
Eldon Image Series Black Desk Accessories,Marion Bowling,North America,0,0,0.05,4,7,7,0.49,5.32
Xerox 188,Tony Doyle,North America,0,0,0.03,11,5,5,0.36,13.15
Global Leather Executive Chair,Tammy Meyers,AsiaPac,1,5,0.05,351,12,39,0.55,2067
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Tammy Meyers,AsiaPac,1,5,0,9,28,1,0.38,94.76
Fellowes Super Stor/Drawer®,Carl McLean,AsiaPac,0,0,0.09,28,40,20,0.67,629.6
Targus USB Numeric Keypad,Janet May,AsiaPac,2,7,0.1,41,10,7,0.74,255.4
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Carole Gray,EMEA,0,0,0.01,60,27,4,0.57,903.2
Global Leather Executive Chair,Robyn Zhou,North America,1,5,0.05,351,3,39,0.55,487.5
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Robyn Zhou,North America,1,5,0,9,7,1,0.38,22.94
"Brites Rubber Bands, 1 1/2 oz. Box",Robyn Zhou,North America,1,5,0.02,2,11,1,0.83,16.82
Fellowes Super Stor/Drawer®,Jordan Wilkinson,North America,0,0,0.09,28,10,20,0.67,142.4
Targus USB Numeric Keypad,Elsie Boykin,North America,2,7,0.1,41,3,7,0.74,71.72
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,April Henson,North America,4,15,0.03,351,11,30,0.61,2209.38
Prang Dustless Chalk Sticks,April Henson,North America,4,15,0.04,2,8,1,0.35,3.96
Xerox 1910,Gregory Rao,North America,1,5,0.02,48,3,5,0.37,45.4
Xerox 1903,Mike G Hartman,North America,1,5,0.07,6,13,6,0.36,16.62
Eldon® Wave Desk Accessories,Lynn Hines,North America,4,15,0.06,2,4,5,0.43,-2.04
Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Sidney Greenberg,North America,4,15,0.08,116,5,56,0.4,129.6
Newell 336,Sidney Greenberg,North America,4,15,0.08,4,7,1,0.56,12.44
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Robyn Crawford,North America,0,0,0.1,208,4,68,0.58,331.36
Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,Arthur Gold,North America,0,0,0.07,90,2,20,0.4,39.4
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Arthur Gold,North America,0,0,0.01,9,1,7,0.45,-3.04
Newell 336,Arthur Gold,North America,0,0,0.02,4,4,1,0.56,7.64
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Jean Webster,North America,4,15,0.08,8,7,9,0.58,19
Xerox 1939,Jean Webster,North America,4,15,0.1,19,3,10,0.37,5.39
Telescoping Adjustable Floor Lamp,Leroy Field,North America,2,7,0.06,20,7,11,0.6,64.6
Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Harriet Moore,North America,2,7,0.06,321,6,59,0.57,923.26
"6"" Cubicle Wall Clock, Black",Sandra Copeland,EMEA,3,10,0.08,8,25,8,0.49,74
Avery Printable Repositionable Plastic Tabs,Wesley Tate,North America,0,0,0,9,48,6,0.38,158.16
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Anita Brock,EMEA,2,7,0.06,7,7,2,0.38,13.68
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Tina Evans,North America,1,5,0.01,5,10,5,0.36,12.5
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Tina Evans,North America,1,5,0.04,6,12,1,0.39,24.2
"6"" Cubicle Wall Clock, Black",Lori Wolfe,North America,3,10,0.08,8,6,8,0.49,11.68
Newell 335,Kent Kerr,North America,4,15,0.09,3,2,1,0.56,1.82
Avery Printable Repositionable Plastic Tabs,Crystal Floyd,North America,0,0,0,9,12,6,0.38,35.04
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Rhonda Ivey,North America,2,7,0.06,7,2,2,0.38,2.48
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Dean Shapiro Britt,AsiaPac,4,15,0.02,111,6,14,0.69,432.22
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Allison Kirby,North America,1,5,0.04,23,37,9,0.44,331.4
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Nicole Sawyer,EMEA,1,5,0.04,3,20,2,0.57,29.8
M70,Nicole Sawyer,EMEA,1,5,0.01,126,25,9,0.59,1818
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Courtney Nelson,North America,4,15,0.02,111,2,14,0.69,134.74
"TOPS Money Receipt Book, Consecutively Numbered in Red,",Courtney Nelson,North America,4,15,0.01,8,8,3,0.4,21.96
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Miriam Mueller,North America,1,5,0.04,23,9,9,0.44,73.8
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Daniel Richmond,North America,1,5,0.04,3,5,2,0.57,5.95
M70,Daniel Richmond,North America,1,5,0.01,126,6,9,0.59,429.48
Fellowes Black Plastic Comb Bindings,Kristine Singleton,North America,2,7,0.06,49,29,6,0.38,12.88
Assorted Color Push Pins,Kristine Singleton,North America,2,7,0.1,6,12,8,0.39,8.8
Stockwell Push Pins,Alex Watkins,North America,2,7,0.03,2,10,1,0.52,6.74
"Bevis Round Conference Table Top, X-Base",Alex Watkins,North America,4,15,0.09,2,9,1,0.52,-63.01
"Fellowes Personal Hanging Folder Files, Navy",Holly Osborne,North America,4,15,0.95,179,1,29,0.76,60.69
Newell 323,Courtney McBride,AsiaPac,2,7,0,13,9,6,0.57,51.36
Security-Tint Envelopes,Amy Hamrick Melvin,North America,4,15,0.01,2,46,2,0.59,36.44
6162,Amy Hamrick Melvin,North America,2,7,0.1,8,18,1,0.36,220.02
Newell 309,Amy Hamrick Melvin,North America,2,7,0,126,3,3,0.59,133
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Patrick Rosenthal,North America,2,7,0.1,12,25,2,0.55,932.36
Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,Lisa Kim,North America,2,7,0.05,328,6,91,0.57,13.3
Xerox 1991,Lisa Kim,North America,2,7,0.03,90,1,20,0.4,45.13
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Eva Silverman,North America,2,7,0.06,23,7,8,0.39,76.1
Newell 323,Joel Huffman,North America,4,15,0.08,31,10,20,0.39,11.92
Maxell DVD-RAM Discs,Russell W Melton,North America,4,15,0.01,2,12,2,0.59,44.08
"Boston Model 1800 Electric Pencil Sharpener, Gray",Katharine Hudson,North America,2,7,0.06,16,8,2,0.42,134
"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Sandra Berry,North America,0,0,0.05,28,10,6,0.55,4.1
"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Sandra Berry,North America,2,7,0.05,15,3,13,0.43,1.72
"Peel & Seel® Recycled Catalog Envelopes, Brown",Veronica Garrett,AsiaPac,2,7,0.05,4,3,2,0.36,41.52
Xerox 1891,Veronica Garrett,AsiaPac,2,7,0.02,12,12,6,0.35,448.72
"Tenex File Box, Personal Filing Tote with Lid, Black",Veronica Garrett,AsiaPac,2,7,0.02,16,17,18,0.59,137.04
Global Leather Executive Chair,Veronica Garrett,AsiaPac,2,7,0.05,351,25,39,0.55,4348.5
"AT&T Black Trimline Phone, Model 210",Veronica Garrett,AsiaPac,2,7,0.04,16,20,9,0.49,135
Avery Arch Ring Binders,Danny Richmond,North America,3,10,0.05,58,13,1,0.38,247.82
"Peel & Seel® Recycled Catalog Envelopes, Brown",Marsha Roy,North America,2,7,0.02,12,3,6,0.35,5.88
Global Leather Executive Chair,Priscilla Brandon,North America,2,7,0.05,351,6,39,0.55,1014
"AT&T Black Trimline Phone, Model 210",Priscilla Brandon,North America,2,7,0.04,16,5,9,0.49,27
Newell 340,Edward Pugh,North America,1,5,0.09,3,10,1,0.56,13.1
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Milton Lindsay,North America,4,15,0.09,207,5,1,0.55,475.1
Computer Printout Paper with Letter-Trim Perforations,Derek McCormick,North America,4,15,0.1,19,1,9,0.37,-3.87
Hewlett-Packard 2600DN Business Color Inkjet Printer,Marjorie Arthur,North America,4,15,0,120,5,56,0.39,178
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Sharon Payne,AsiaPac,3,10,0.02,141,27,53,0.65,2345.41
"Fellowes Smart Surge Ten-Outlet Protector, Platinum",Julian Keith Mayer,North America,4,15,0.02,60,9,4,0.57,293
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Ryan McKenzie,EMEA,1,5,0.07,4,33,7,0.39,35.24
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Terri Bond,AsiaPac,2,7,0.04,280,16,23,0.59,2441
Avery 508,Terri Bond,AsiaPac,2,7,0.02,5,36,1,0.36,60.2
"Premier Elliptical Ring Binder, Black",Terri Bond,AsiaPac,2,7,0.02,30,46,1,0.37,482
Hon iLevel™ Computer Training Table,Carlos Hess,North America,3,10,0.95,32,9,46,0.65,-132.4
Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,David Weaver,North America,0,0,0.04,356,8,59,0.64,1649.8
Southworth 25% Cotton Premium Laser Paper and Envelopes,David Weaver,North America,0,0,0.09,20,5,9,0.37,19
XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Vicki Womble,North America,2,7,0.08,8,10,5,0.35,16.6
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Vicki Womble,North America,2,7,0.03,105,10,24,0.61,585
Avery 508,Cameron Kendall,North America,2,7,0.02,5,9,1,0.36,14.3
"Premier Elliptical Ring Binder, Black",Cindy McLeod,North America,2,7,0.02,30,12,1,0.37,125
"Memorex Slim 80 Minute CD-R, 10/Pack",Paul Puckett,North America,4,15,0.04,10,9,2,0.43,33.1
"Career Cubicle Clock, 8 1/4"", Black",Bonnie Matthews Rowland,North America,4,15,0,20,9,14,0.47,70.6
PC Concepts 116 Key Quantum 3000 Keyboard,Geoffrey Zhu,North America,4,15,0.09,33,2,6,0.75,37.56
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Anna Ellis,North America,1,5,0.02,881,8,45,0.62,4183.8
"Carina 42""Hx23 3/4""W Media Storage Unit",Jean Weiss Diaz,North America,4,15,0.01,81,3,35,0.83,164.26
"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Yvonne Collier,North America,3,10,0.02,15,9,10,0.36,35.9
Motorola SB4200 Cable Modem,Joan Beach,North America,3,10,0.07,180,7,20,0.48,496.6
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joan Beach,North America,3,10,0.02,92,11,40,0.67,617.8
Avery 498,Benjamin Gunter,North America,2,7,0.07,3,12,1,0.38,10.16
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Benjamin Gunter,North America,2,7,0,218,10,29,0.68,1453.4
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Rhonda Schroeder,North America,0,0,0,7,5,8,0.58,12.3
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Melinda Thornton,North America,0,0,0.07,31,11,6,0.4,106.53
Keytronic 105-Key Spanish Keyboard,Amy York,North America,2,7,0.01,74,5,12,0.67,232.2
Safco Contoured Stacking Chairs,Dana Sharpe,North America,1,5,0.1,238,30,24,0.5,2832
Canon PC-428 Personal Copier,Dana Sharpe,North America,1,5,0.03,200,21,24,0.46,1782
Fellowes Command Center 5-outlet power strip,Ruby Knox,EMEA,1,5,0.08,68,5,1,0.58,169
Holmes Odor Grabber,Douglas Sutton,North America,3,10,0.01,14,6,7,0.52,35.84
Safco Contoured Stacking Chairs,Pauline Denton,North America,1,5,0.1,238,8,24,0.5,737.6
Canon PC-428 Personal Copier,Pauline Denton,North America,1,5,0.03,200,5,24,0.46,406
Fellowes Command Center 5-outlet power strip,Phillip Pollard,North America,1,5,0.08,68,1,1,0.58,33
Harmony HEPA Quiet Air Purifiers,Nancy Holden,North America,2,7,0.01,12,6,7,0.5,28.28
"Eldon Regeneration Recycled Desk Accessories, Smoke",Jean Khan,North America,4,15,0.06,2,1,4,0.53,-3.06
5170i,Harriet Bowman,North America,0,0,0.1,126,4,9,0.57,227.88
Avery 498,Bradley Locklear,AsiaPac,3,10,0.01,3,5,1,0.38,4.55
Canon MP41DH Printing Calculator,Ethel Branch,AsiaPac,3,10,0.08,151,31,14,0.38,1390.3
"Global Stack Chair without Arms, Black",Ethel Branch,AsiaPac,3,10,0.03,26,15,14,0.6,208.3
Fellowes Neat Ideas® Storage Cubes,Ethel Branch,AsiaPac,3,10,0.1,32,39,35,0.81,851.08
"IBM Active Response Keyboard, Black",Ellen Ennis Lehman,EMEA,2,7,0.09,40,10,7,0.67,225
Bretford Rectangular Conference Table Tops,Ellen Ennis Lehman,EMEA,2,7,0.06,376,24,86,0.74,6050.32
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Teresa Wallace,North America,2,7,0.08,91,12,56,0.74,664.72
Xerox 1947,Teresa Wallace,North America,2,7,0.07,6,3,5,0.4,0.94
Avery 498,Kristina Collier,North America,3,10,0.01,3,1,1,0.38,0.11
Nu-Dell Leatherette Frames,Arlene Gibbons,North America,3,10,0.03,14,8,5,0.49,46.52
Canon MP41DH Printing Calculator,Faye Manning,North America,3,10,0.08,151,8,14,0.38,348.4
"Global Stack Chair without Arms, Black",Julian Keith Mayer,North America,3,10,0.03,26,4,14,0.6,45.28
Fellowes Neat Ideas® Storage Cubes,Julian Keith Mayer,North America,3,10,0.1,32,10,35,0.81,192.2
T18,Geraldine Case,AsiaPac,2,7,0.02,111,4,3,0.57,241.2
T18,Carrie McIntosh,North America,2,7,0.02,111,1,3,0.57,58.05
V70,Monica Harvey,North America,0,0,0.08,206,10,3,0.59,1047.6
Newell 338,Lloyd Dolan,North America,4,15,0.09,3,9,1,0.58,12.23
Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Joanna Kenney,North America,4,15,0.03,44,10,9,0.58,233
OIC Thumb-Tacks,Joanna Kenney,North America,4,15,0.06,1,13,1,0.38,3.16
"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Kristine Connolly,North America,2,7,0,7,36,2,0.39,96.28
Xerox 194,Jose Block,AsiaPac,3,10,0.06,55,1,14,0.37,3.05
Newell 323,Jose Block,AsiaPac,3,10,0.02,2,3,2,0.59,1.42
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Joy Maxwell,North America,1,5,0.02,60,1,4,0.57,29
Wilson Jones Impact Binders,Joy Maxwell,North America,1,5,0.03,5,9,6,0.36,8.85
"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Kristina Sanders,North America,2,7,0,7,9,2,0.39,22.57
Fellowes Neat Ideas® Storage Cubes,Kristina Sanders,North America,2,7,0.03,32,8,35,0.81,164.68
Xerox 194,Edna Thomas,North America,3,10,0.06,55,1,14,0.37,3.05
Newell 323,Edna Thomas,North America,3,10,0.02,2,1,2,0.59,-0.86
